id	issues	mech	judg	skip	kind	lane	files	rules
B001	56	50	1	5	actionable	Telegraph#tests	Telegraph/tests/fixtures/db/notifications.rs	must_use_candidate:29,return_self_not_must_use:16,missing_errors_doc:2,missing_panics_doc:3,new_without_default:1,wrong_self_convention:5
B002	49	48	1	0	actionable	Telegraph#tests	Telegraph/tests/fixtures/db/notification_deliveries.rs	must_use_candidate:29,return_self_not_must_use:17,missing_errors_doc:2,new_without_default:1
B003	47	47	0	0	actionable	Telegraph#tests	Telegraph/tests/fixtures/smtp/resources.rs|Telegraph/tests/fixtures/smtp/service.rs|Telegraph/tests/fixtures/smtp/testcontainer.rs|Telegraph/tests/fixtures/db/mod.rs	must_use_candidate:29,return_self_not_must_use:10,missing_errors_doc:8
B004	16	14	2	0	actionable	sentinel-sync#src	sentinel-sync/src/translator/manifesto.rs|sentinel-sync/src/idempotency.rs	needless_pass_by_value:14,unwrap_used:2
B005	16	0	16	0	judgment	Hive/domain#src	Hive/domain/src/entity/external_link.rs|Hive/domain/src/entity/permission.rs|Hive/domain/src/entity/sync_job.rs|Hive/domain/src/service/role_service.rs	should_implement_trait:12,unwrap_used:1,struct_field_names:3
B006	12	0	12	0	judgment	IAMRusty/setup#src	IAMRusty/setup/src/app.rs	too_many_arguments:9,S107:3
B007	12	3	9	0	judgment	Hive/setup#src	Hive/setup/src/app.rs	type_complexity:9,needless_pass_by_value:3
B008	11	0	11	0	judgment	Hive/infra#src	Hive/infra/src/repository/member_role_repository.rs|Hive/infra/src/repository/organization_invitation_repository.rs|Hive/infra/src/repository/organization_member_repository.rs|Hive/infra/src/repository/role_permission_repository.rs	unwrap_used:11
B009	10	0	10	0	judgment	IAMRusty/http#src	IAMRusty/http/src/validation.rs	unwrap_used:10
B010	9	0	9	0	judgment	Hive/migration#src	Hive/migration/src/m20240101_000005_create_external_providers_table.rs|Hive/migration/src/m20240101_000006_create_external_links_table.rs|Hive/migration/src/m20240101_000007_create_sync_jobs_table.rs	expect_used:3,large_futures:6
B011	5	0	5	0	judgment	Telegraph/setup#src	Telegraph/setup/src/app.rs	unwrap_used:2,too_many_lines:3
B012	3	0	3	0	judgment	IAMRusty/configuration#src	IAMRusty/configuration/src/lib.rs	unwrap_used:3
B013	3	3	0	0	actionable	Telegraph/application#src	Telegraph/application/src/error.rs	needless_pass_by_value:3
B014	3	3	0	0	actionable	readiness#src	readiness/src/factory.rs	implicit_hasher:3
B015	2	0	2	0	judgment	IAMRusty/infra#src	IAMRusty/infra/src/auth/github.rs|IAMRusty/infra/src/auth/gitlab.rs	expect_used:2
S001	144	0	0	144	skip	IAMRusty#tests	IAMRusty/tests/fixtures/db/provider_tokens.rs|IAMRusty/tests/fixtures/db/user_emails.rs|IAMRusty/tests/fixtures/github/resources.rs|IAMRusty/tests/fixtures/gitlab/resources.rs	option_option:108,wrong_self_convention:36
S002	24	0	0	24	skip	IAMRusty/domain#src	IAMRusty/domain/src/service/provider_link_service.rs	future_not_send:24
S003	21	0	0	21	skip	Manifesto/domain#src	Manifesto/domain/src/value_objects/*.rs	should_implement_trait:21
S004	3	0	0	3	skip	Hive/application#src	Hive/application/src/command/factory.rs	too_many_lines:3
